Cause-Effect	Cause	Effect	Weight	AbsWeight	Test	Lag	Coef
ENSG00000124575.6-ENSG00000135094.9	ENSG00000124575.6	ENSG00000135094.9	-0.146374794306	0.146374794306	ridge	1	1
ENSG00000205177.6-ENSG00000167772.10	ENSG00000205177.6	ENSG00000167772.10	0.110235500382	0.110235500382	ridge	1	1
ENSG00000183598.3-ENSG00000166592.10	ENSG00000183598.3	ENSG00000166592.10	-0.107622789312	0.107622789312	ridge	1	1
ENSG00000184270.4-ENSG00000152779.13	ENSG00000184270.4	ENSG00000152779.13	-0.0995593092642	0.0995593092642	ridge	1	1
ENSG00000124575.6-ENSG00000181634.7	ENSG00000124575.6	ENSG00000181634.7	0.0966823687009	0.0966823687009	ridge	1	1
ENSG00000129988.5-ENSG00000187288.9	ENSG00000129988.5	ENSG00000187288.9	0.0952272308966	0.0952272308966	ridge	1	1
ENSG00000129988.5-ENSG00000129757.11	ENSG00000129988.5	ENSG00000129757.11	0.0939564015275	0.0939564015275	ridge	1	1
ENSG00000205177.6-ENSG00000157514.15	ENSG00000205177.6	ENSG00000157514.15	0.0924339481166	0.0924339481166	ridge	1	1
ENSG00000137440.4-ENSG00000183671.11	ENSG00000137440.4	ENSG00000183671.11	-0.0922440026443	0.0922440026443	ridge	1	1
ENSG00000274267.1-ENSG00000157514.15	ENSG00000274267.1	ENSG00000157514.15	0.0919421617267	0.0919421617267	ridge	1	1
ENSG00000129988.5-ENSG00000115112.7	ENSG00000129988.5	ENSG00000115112.7	0.091712234834	0.091712234834	ridge	1	1
ENSG00000184270.4-ENSG00000163283.6	ENSG00000184270.4	ENSG00000163283.6	-0.091658560583	0.091658560583	ridge	1	1
ENSG00000274267.1-ENSG00000167772.10	ENSG00000274267.1	ENSG00000167772.10	0.0912027072463	0.0912027072463	ridge	1	1
ENSG00000129988.5-ENSG00000166592.10	ENSG00000129988.5	ENSG00000166592.10	0.090169541548	0.090169541548	ridge	1	1
ENSG00000160781.14-ENSG00000129757.11	ENSG00000160781.14	ENSG00000129757.11	-0.0891361969196	0.0891361969196	ridge	1	1
ENSG00000170477.11-ENSG00000129757.11	ENSG00000170477.11	ENSG00000129757.11	0.0855430366489	0.0855430366489	ridge	1	1
